"","rowname","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"29","beta_angle_dev[5]",0.132126961853096,0.00243250127631371,0.233108299384488,-0.347564964062479,-0.0104445713609804,0.137079271597259,0.282977011580148,0.580150614883003,9183.52300926232,1.00014075384518
"30","beta_angle_dev[6]",0.277548533262773,0.00376794918014217,0.315906415098093,-0.275035388039725,0.0783504929811647,0.247590841160884,0.442541276386737,1.011583852839,7029.21483741226,1.00041819547264
"31","beta_cone_def[1]",-0.533476602349545,0.005107569115376,0.453481401363809,-1.53427109871357,-0.778867046035919,-0.500211416894418,-0.244822744605208,0.26132368180112,7882.9805622201,1.00011288500121
"32","beta_cone_def[2]",-0.522377318353717,0.00393036962433698,0.361126817081666,-1.29477863221265,-0.747184688500703,-0.502054544349761,-0.273024584873063,0.13030514965603,8442.14273642795,1.00016659540474
"33","beta_cone_def[3]",-0.351494189706794,0.00550263077861987,0.464288304972855,-1.20443632256538,-0.641447041186923,-0.374569443944801,-0.100963858307411,0.706689660718266,7119.25817349074,1.00033853124053
"34","beta_cone_def[4]",-0.550938019653578,0.00522007726985843,0.441189787902531,-1.55016705183021,-0.787468453645608,-0.511350086161622,-0.263691267486125,0.206165020141857,7143.26956630119,1.00025407526302
"35","beta_cone_def[5]",-0.510787487108444,0.00455789754286311,0.389713591795166,-1.33959404882577,-0.744855792369272,-0.489984261629878,-0.248816211368854,0.194093080090585,7310.75093505497,1.00019535434652
"36","beta_cone_def[6]",-0.380147505414794,0.00433691922245471,0.398627615198764,-1.17853674414434,-0.632945745492929,-0.380005093545342,-0.129491578623868,0.429594876140844,8448.35386738296,1.00007619871702
"37","beta_pressure[1]",-0.117561642418473,0.00714596980753521,0.738730879020262,-1.67645860845814,-0.54734340394237,-0.0941629787538143,0.338290783832113,1.30666028765638,10686.8607863537,1.00000448401751
"38","beta_pressure[2]",0.0601680996473358,0.00585539711874346,0.573878629249022,-1.05611108934374,-0.31852759565273,0.0579508698762301,0.437774215501525,1.21652511841704,9605.66408833286,1.00051971965336
"39","beta_pressure[3]",-0.401492946962251,0.0144304545945847,0.959076380242076,-2.77397427203269,-0.809754771247444,-0.268782518164103,0.182442257270544,1.04658305048176,4417.19290259068,1.00000364959958
"40","beta_pressure[4]",-0.211174839188688,0.0114490397596381,0.990338380885284,-2.44688030789245,-0.652533372282476,-0.13929185839266,0.318894589896155,1.60322905552849,7482.19623227294,1.00007703715359
"41","beta_pressure[5]",-0.0703569742498806,0.00623225853429133,0.686798714145695,-1.47161626096565,-0.492001458916804,-0.0602286639962182,0.359040744990198,1.29276820576215,12144.1752220069,1.00031865713715
"42","beta_pressure[6]",-0.459186359168108,0.0149062117037175,0.937580660988652,-2.81065859160985,-0.861774605053592,-0.310748538411702,0.144721020956439,0.910540176955148,3956.24074746927,1.00040862215326
