"","player.name","player.name.GK","possession_team.name","play_pattern.name","shot.statsbomb_xg","shot.first_time","location.x","location.y","DistToGoal","DistToKeeper","AngleToGoal","AngleDeviation","avevelocity","DefendersInCone","InCone.GK","under_pressure","goal","shot.type.name_Free.Kick","shot.type.name_Open.Play","shot.type.name_Penalty","shot.technique.name_Half.Volley","shot.technique.name_Lob","shot.technique.name_Normal","shot.technique.name_Volley","shot.body_part.name_processed_Head","shot.body_part.name_processed_Other","shot.body_part.name_processed_Stronger.Foot","shot.body_part.name_processed_Weaker.Foot"
"47","Kolo Habib Touré","Thomas Løvendahl Sørensen","Arsenal","From Counter",0.026164522,0,90.4,50.1,3.39271606642462,1.47856314319901,1.06772695000237,1.03552730358614,-0.0346313612033149,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
"48","Thierry Henry","Thomas Løvendahl Sørensen","Arsenal","From Keeper",0.04555448,0,98.5,52.1,2.67625644829568,0.646343215417393,1.66447900405951,1.23080353579656,-0.058983754419408,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"49","Jérémie Aliadière","Mark Schwarzer","Arsenal","From Goal Kick",0.11270856,0,107.8,53.2,1.94982387092871,0.912515003799394,2.67801038004052,0.676067973571069,-0.0461167713765014,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"50","Thierry Henry","Mark Schwarzer","Arsenal","From Free Kick",0.14639963,0,106.1,27.9,1.99911130311954,1.00845888211474,2.3258004328869,0.526231791473404,-0.0473688329260689,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"51","Patrick Vieira","Mark Schwarzer","Arsenal","From Corner",0.08543226,0,113.5,42.5,0.75545954923287,0.283440250153259,1.1922374275276,0.903734035018756,-0.0809725203669517,5,2,1,0,0,1,0,0,0,1,0,1,0,0,0
"52","Thierry Henry","Mark Schwarzer","Arsenal","Regular Play",0.016273933,0,93.2,23,3.44276063117223,0.591361329780388,1.83549863330436,2.78483733501278,-0.0598412273744175,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"53","Patrick Vieira","Mark Schwarzer","Arsenal","From Free Kick",0.020727167,0,91.1,38.5,3.13922455147157,0.523541434598381,0.168381708269196,0.292761694459879,-0.0480378623245128,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"54","Fredrik Ljungberg","Mark Schwarzer","Arsenal","Regular Play",0.10561987,0,102,43.2,1.98321389786589,0.544774641780269,0.571287458772293,0.291436770839625,-0.0493252527960735,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"55","Robert Pirès ","Mark Schwarzer","Arsenal","From Counter",0.037148878,0,102.8,27.4,2.31289044288223,0.59692907775022,2.05293935672061,0.0792887688982123,-0.0441851184020753,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"56","Gilberto Aparecido da Silva","Mark Schwarzer","Arsenal","Regular Play",0.035797488,0,100.8,44.6,2.14171295293573,0.612558136847684,0.763550562116609,0.187197995435382,-0.0738919851508626,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1
